ID,Gender,Own_car,Own_property,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Target,Income_type_Commercial associate,Income_type_Pensioner,Income_type_State servant,Income_type_Student,Income_type_Working,Education_type_Academic degree,Education_type_Higher education,Education_type_Incomplete higher,Education_type_Lower secondary,Education_type_Secondary / secondary special,Family_status_Civil marriage,Family_status_Married,Family_status_Separated,Family_status_Single / not married,Family_status_Widow,Housing_type_Co-op apartment,Housing_type_House / apartment,Housing_type_Municipal apartment,Housing_type_Office apartment,Housing_type_Rented apartment,Housing_type_With parents,Occupation_type_Accountants,Occupation_type_Cleaning staff,Occupation_type_Cooking staff,Occupation_type_Core staff,Occupation_type_Drivers,Occupation_type_HR staff,Occupation_type_High skill tech staff,Occupation_type_IT staff,Occupation_type_Laborers,Occupation_type_Low-skill Laborers,Occupation_type_Managers,Occupation_type_Medicine staff,Occupation_type_Other,Occupation_type_Private service staff,Occupation_type_Realty agents,Occupation_type_Sales staff,Occupation_type_Secretaries,Occupation_type_Security staff,Occupation_type_Waiters/barmen staff
5008804,1,1,1,0,-0.5512580615403799,-0.19575507984314686,-0.737064435023849,2.4807733157327476,-0.9702184699618281,1.0747432128021945,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5008806,1,1,1,0,-0.5512580615403799,-0.19575507984314686,0.10391785654881702,-0.6923207003583676,1.2660092217014376,-0.3596868571209544,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5008808,0,0,1,0,-0.5512580615403799,-1.267715638329956,-1.3978362355452294,0.89422630768719,0.7499566774714532,0.437218737280795,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5008812,0,0,1,1,-0.5512580615403799,-1.267715638329956,-0.4367136166050397,1.0302160512339522,1.5240354938164298,-0.8378302137620041,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5008815,1,1,1,0,-0.5512580615403799,-0.19575507984314686,-1.3377660718614675,0.89422630768719,0.23390413324146878,-0.5190679760013043,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008819,1,1,1,0,-0.5512580615403799,-0.19575507984314686,-0.6169241076563252,-0.46567112778043074,0.4059216479847969,-0.3596868571209544,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5008825,0,1,0,0,-0.5512580615403799,-0.19575507984314686,-0.1363627981862304,-0.5110010422960181,-1.2282447420768203,-0.3596868571209544,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008830,0,0,1,0,-0.5512580615403799,-0.19575507984314686,0.22405818391634075,-0.23902155520249393,-1.4002622568201486,-0.20030573824060452,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5008834,0,0,1,0,0.7525578993598756,-0.19575507984314686,1.0049703118052449,-0.6923207003583676,-1.1422359847051564,-0.20030573824060452,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5008836,1,1,1,0,3.360189821160387,3.0201265956172803,-0.19643296186999226,0.89422630768719,-0.7982009552185001,-0.3596868571209544,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5008838,1,0,1,0,0.7525578993598756,0.8762054786436622,0.7046194933864356,2.254123743154811,-0.9702184699618281,-0.04092461936025464,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5008844,1,1,1,0,-0.5512580615403799,-0.19575507984314686,0.944900148121483,-0.6923207003583676,1.0939917069581095,1.0747432128021945,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008854,0,1,1,0,2.056373860260131,1.9481660371304712,0.7046194933864356,-0.46567112778043074,-0.02412213887352343,0.437218737280795,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5008868,0,0,1,0,0.7525578993598756,0.8762054786436622,-0.19643296186999226,0.3049374189845544,0.06188661849814064,2.1904110449646437,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008872,1,1,1,0,-0.5512580615403799,-0.19575507984314686,-1.0374152534426582,1.8008245979989372,0.1478953758698047,1.393505450562894,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5008873,0,0,1,0,2.056373860260131,1.9481660371304712,-0.3766434529212778,-0.5563309568116055,-0.8842097125901641,-0.20030573824060452,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5008884,0,0,1,1,-0.5512580615403799,-1.267715638329956,0.7646896570701974,1.3475254528430636,1.0079829495864454,-0.8378302137620041,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5008888,0,0,1,0,-0.5512580615403799,-1.267715638329956,-0.9773450897588964,0.6675767351092532,0.23390413324146878,-0.3596868571209544,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008891,0,0,1,0,-0.5512580615403799,-1.267715638329956,-1.2176257444939438,1.1662057947807143,-0.1101308962451875,0.437218737280795,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5008942,0,0,0,0,-0.5512580615403799,-0.19575507984314686,0.944900148121483,-0.23902155520249393,-0.5401746831035078,1.2341243316825443,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5008947,1,0,1,0,-0.5512580615403799,-0.19575507984314686,-0.9172749260751345,-0.46567112778043074,-0.1101308962451875,-0.3596868571209544,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008951,1,0,1,0,0.7525578993598756,0.8762054786436622,1.0650404754890068,0.4409271625313164,-1.3142534994484845,0.27783761840044513,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5008955,0,1,1,0,-0.5512580615403799,-0.19575507984314686,-1.3978362355452294,-0.46567112778043074,0.4059216479847969,-0.20030573824060452,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5008966,1,0,1,0,-0.5512580615403799,-0.19575507984314686,-0.737064435023849,-0.23902155520249393,-0.02412213887352343,-0.5190679760013043,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5008974,0,0,1,1,-0.5512580615403799,-0.19575507984314686,1.3053211302240542,-0.6923207003583676,1.5240354938164298,-0.8378302137620041,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5008981,1,1,1,0,-0.5512580615403799,-0.19575507984314686,-1.0374152534426582,-0.6923207003583676,1.1800004643297735,0.11845649952009524,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008991,0,1,1,0,-0.5512580615403799,-1.267715638329956,0.16398802023257888,0.89422630768719,0.1478953758698047,-0.3596868571209544,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5008998,0,1,1,0,-0.5512580615403799,-0.19575507984314686,-1.3978362355452294,0.89422630768719,-1.2282447420768203,-0.5190679760013043,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5009000,1,1,1,0,-0.5512580615403799,-0.19575507984314686,-0.316573289237516,-0.23902155520249393,-1.4002622568201486,-0.5190679760013043,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009001,1,0,1,0,-0.5512580615403799,-0.19575507984314686,0.7646896570701974,-0.1483617261713192,0.6639479200997891,1.8716488072039439,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5009016,0,0,1,0,2.056373860260131,1.9481660371304712,-0.19643296186999226,0.3502673335001417,-0.1101308962451875,0.437218737280795,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5009027,0,1,1,0,-0.5512580615403799,-0.19575507984314686,-0.3766434529212778,0.89422630768719,0.9219741922147814,3.7842222337681424,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5009028,0,1,1,0,-0.5512580615403799,-0.19575507984314686,-0.6169241076563252,0.4409271625313164,-0.3681571683601797,0.27783761840044513,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5009031,0,0,1,0,-0.5512580615403799,-1.267715638329956,-0.8572047623913727,1.3475254528430636,-1.3142534994484845,-0.3596868571209544,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009033,0,0,0,1,-0.5512580615403799,-0.19575507984314686,-0.6769942713400872,0.7446375897857518,0.6639479200997891,-0.8378302137620041,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5009039,0,0,1,0,2.056373860260131,0.8762054786436622,-1.157555580810182,-0.23902155520249393,-0.3681571683601797,-0.6784490948816542,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009042,0,0,1,0,-0.5512580615403799,-0.19575507984314686,-0.4367136166050397,-0.32968138423366866,0.4059216479847969,-0.5190679760013043,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009050,0,0,1,0,2.056373860260131,1.9481660371304712,0.4042686749676263,0.21427758995337964,-1.1422359847051564,0.11845649952009524,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009056,1,0,1,0,-0.5512580615403799,-1.267715638329956,-0.19643296186999226,0.21427758995337964,-1.6582885289351408,-0.5190679760013043,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009058,0,1,1,0,-0.5512580615403799,-1.267715638329956,-1.6381168902802767,-0.6923207003583676,-2.002323558421797,-0.5190679760013043,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5009060,0,0,1,1,-0.5512580615403799,-0.19575507984314686,-1.4579063992289913,-0.873640358420717,1.5240354938164298,-0.8378302137620041,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5009062,1,1,1,0,-0.5512580615403799,-0.19575507984314686,1.0650404754890068,1.3475254528430636,-1.3142534994484845,-0.04092461936025464,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5009071,0,1,1,0,-0.5512580615403799,-0.19575507984314686,-0.4367136166050397,0.89422630768719,-1.3142534994484845,0.437218737280795,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
